aare	rivier in Zwitserland
marokko	land in Afrika
mexico	land in Midden-Amerika
nepal	land in Azië
peru	land in Zuid-Amerika
polen	land in Europa
qatar	land in het Midden-Oosten
sudan	land in Afrika
spanje	land in Europa
alabama	staat in de VS
alaska	staat in de VS
arizona	staat in de VS
arkansas	staat in de VS
californie	staat in de VS
colorado	staat in de VS
connecticut	staat in de VS
delaware	staat in de VS
florida	staat in de VS
georgia	staat in de VS
hawaii	staat in de VS
idaho	staat in de VS
illinois	staat in de VS
indiana	staat in de VS
iowa	staat in de VS
kansas	staat in de VS
kentucky	staat in de VS
louisiana	staat in de VS
maine	staat in de VS
maryland	staat in de VS
massachusetts	staat in de VS
michigan	staat in de VS
minnesota	staat in de VS
mississippi	staat in de VS
missouri	staat in de VS
montana	staat in de VS
nebraska	staat in de VS
nevada	staat in de VS
ohio	staat in de VS
oklahoma	staat in de VS
oregon	staat in de VS
pennsylvania	staat in de VS
tennessee	staat in de VS
texas	staat in de VS
utah	staat in de VS
vermont	staat in de VS
virginia	staat in de VS
washington	staat in de VS
wisconsin	staat in de VS
wyoming	staat in de VS
